Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
Experiments,,,
name,"$crypto,cp","$pcktlen,cp","$lambda,cp"
exp-1,AES-128-CBC,128,10000
exp-2,AES-128-CBC,256,10000
exp-3,AES-128-CBC,512,10000
exp-4,AES-128-CBC,1024,10000
exp-5,AES-256-CBC,128,10000
exp-6,AES-256-CBC,256,10000
exp-7,AES-256-CBC,512,10000
exp-8,AES-256-CBC,1024,10000
