operation, device, packetlength, params, execution time (musec)
generateOp,Intel-Xeon-w-1350P,128,,0.157
,,256,,0.189
,,512,,0.253
,,1024,,0.38100000000000006
,Intel-i7-11850HE,128,,0.13361702127659572
,,256,,0.16085106382978723
,,512,,0.2153191489361702
,,1024,,0.3242553191489362
,,128,,0.13361702127659572
,,256,,0.16085106382978723
,,512,,0.2153191489361702
,,1024,,0.3242553191489362
,Intel-i7-7600U,128,,0.16102564102564101
,,256,,0.19384615384615386
,,512,,0.25948717948717953
,,1024,,0.3907692307692308
,,128,,0.16102564102564101
,,256,,0.19384615384615386
,,512,,0.25948717948717953
,,1024,,0.3907692307692308
,Intel-Xeon-w-1390P,128,,0.12076923076923075
,,256,,0.1453846153846154
,,512,,0.1946153846153846
,,1024,,0.2930769230769231
,Intel-i7-1360P,128,,0.1256
,,256,,0.1512
,,512,,0.20240000000000002
,,1024,,0.3048
,,128,,0.1256
,,256,,0.1512
,,512,,0.20240000000000002
,,1024,,0.3048
,Intel-i7-1185G7E,128,,0.14272727272727273
,,256,,0.17181818181818181
,,512,,0.22999999999999998
,,1024,,0.3463636363636364
,,128,,0.14272727272727273
,,256,,0.17181818181818181
,,512,,0.22999999999999998
,,1024,,0.3463636363636364
,Intel-i7-7700,128,,0.14952380952380953
,,256,,0.18
,,512,,0.24095238095238092
,,1024,,0.3628571428571429
,,128,,0.14952380952380953
,,256,,0.18
,,512,,0.24095238095238092
,,1024,,0.3628571428571429
,Intel-i7-6700,128,,0.157
,,256,,0.189
,,512,,0.253
,,1024,,0.38100000000000006
,,128,,0.157
,,256,,0.189
,,512,,0.253
,,1024,,0.38100000000000006
,ARM-_Denver_2,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,ARM-_ARM_Cortex,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,Intel-Xeon-w-1370P,128,,0.17444444444444443
,,256,,0.21
,,512,,0.2811111111111111
,,1024,,0.42333333333333334
,Intel-i7-14650HX,128,,0.12076923076923075
,,256,,0.1453846153846154
,,512,,0.1946153846153846
,,1024,,0.2930769230769231
,,128,,0.12076923076923075
,,256,,0.1453846153846154
,,512,,0.1946153846153846
