operation, device, packetlength, params, execution time (musec)
,,256,,145.9047619047619
,,512,,148.95238095238093
,,1024,,155.04761904761904
,,128,,144.38095238095235
,,256,,145.9047619047619
,,512,,148.95238095238093
,,1024,,155.04761904761904
,Intel-i7-6700,128,,151.6
,,256,,153.2
,,512,,156.39999999999998
,,1024,,162.8
,,128,,151.6
,,256,,153.2
,,512,,156.39999999999998
,,1024,,162.8
,ARM-_Denver_2,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,ARM-_ARM_Cortex,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,Intel-Xeon-w-1370P,128,,168.44444444444446
,,256,,170.2222222222222
,,512,,173.77777777777774
,,1024,,180.88888888888889
,Intel-i7-14650HX,128,,116.6153846153846
,,256,,117.84615384615383
,,512,,120.30769230769229
,,1024,,125.23076923076921
,,128,,116.6153846153846
,,256,,117.84615384615383
,,512,,120.30769230769229
,,1024,,125.23076923076921
,Intel-i3-4130,128,,178.35294117647058
,,256,,180.23529411764704
,,512,,183.99999999999997
,,1024,,191.52941176470588
,Intel-i7-14700HX,128,,110.25454545454545
,,256,,111.41818181818181
,,512,,113.74545454545454
,,1024,,118.4
,,128,,110.25454545454545
,,256,,111.41818181818181
,,512,,113.74545454545454
,,1024,,118.4
decrypt-aes-1024,Intel-Xeon-w-1350P,128,,25.032
,,256,,25.064000000000004
,,512,,25.128
,,1024,,25.256
,Intel-i7-11850HE,128,,21.30382978723404
,,256,,21.331063829787237
,,512,,21.38553191489362
,,1024,,21.494468085106384
,,128,,21.30382978723404
,,256,,21.331063829787237
,,512,,21.38553191489362
,,1024,,21.494468085106384
,Intel-i7-7600U,128,,25.673846153846153
,,256,,25.70666666666667
,,512,,25.772307692307695
,,1024,,25.903589743589745
,,128,,25.673846153846153
,,256,,25.70666666666667
,,512,,25.772307692307695
,,1024,,25.903589743589745
,Intel-Xeon-w-1390P,128,,19.255384615384614
,,256,,19.28
,,512,,19.32923076923077
,,1024,,19.427692307692308
,Intel-i7-1360P,128,,20.0256
,,256,,20.0512
,,512,,20.1024
,,1024,,20.2048
,,128,,20.0256
,,256,,20.0512
,,512,,20.1024
,,1024,,20.2048
,Intel-i7-1185G7E,128,,22.756363636363634
,,256,,22.785454545454545
,,512,,22.84363636363636
,,1024,,22.959999999999997
,,128,,22.756363636363634
,,256,,22.785454545454545
,,512,,22.84363636363636
,,1024,,22.959999999999997
,Intel-i7-7700,128,,23.84
,,256,,23.87047619047619
,,512,,23.931428571428572
,,1024,,24.05333333333333
,,128,,23.84
,,256,,23.87047619047619
,,512,,23.931428571428572
,,1024,,24.05333333333333
,Intel-i7-6700,128,,25.032
,,256,,25.064000000000004
,,512,,25.128
,,1024,,25.256
,,128,,25.032
,,256,,25.064000000000004
,,512,,25.128
,,1024,,25.256
,ARM-_Denver_2,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,ARM-_ARM_Cortex,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,Intel-Xeon-w-1370P,128,,27.813333333333333
,,256,,27.84888888888889
,,512,,27.92
,,1024,,28.06222222222222
,Intel-i7-14650HX,128,,19.255384615384614
,,256,,19.28
,,512,,19.32923076923077
,,1024,,19.427692307692308
,,128,,19.255384615384614
,,256,,19.28
,,512,,19.32923076923077
,,1024,,19.427692307692308
,Intel-i3-4130,128,,29.449411764705886
,,256,,29.487058823529416
,,512,,29.562352941176474
,,1024,,29.71294117647059
,Intel-i7-14700HX,128,,18.20509090909091
,,256,,18.22836363636364
,,512,,18.27490909090909
,,1024,,18.368000000000002
,,128,,18.20509090909091
,,256,,18.22836363636364
,,512,,18.27490909090909
,,1024,,18.368000000000002
decrypt-aes-256,Intel-Xeon-w-1350P,128,,25.032
,,256,,25.064000000000004
,,512,,25.128
,,1024,,25.256
,Intel-i7-11850HE,128,,21.30382978723404
,,256,,21.331063829787237
,,512,,21.38553191489362
,,1024,,21.494468085106384
,,128,,21.30382978723404
,,256,,21.331063829787237
,,512,,21.38553191489362
,,1024,,21.494468085106384
,Intel-i7-7600U,128,,25.673846153846153
,,256,,25.70666666666667
,,512,,25.772307692307695
,,1024,,25.903589743589745
,,128,,25.673846153846153
,,256,,25.70666666666667
,,512,,25.772307692307695
,,1024,,25.903589743589745
,Intel-Xeon-w-1390P,128,,19.255384615384614
,,256,,19.28
,,512,,19.32923076923077
,,1024,,19.427692307692308
,Intel-i7-1360P,128,,20.0256
,,256,,20.0512
,,512,,20.1024
,,1024,,20.2048
,,128,,20.0256
,,256,,20.0512
,,512,,20.1024
,,1024,,20.2048
,Intel-i7-1185G7E,128,,22.756363636363634
,,256,,22.785454545454545
,,512,,22.84363636363636
,,1024,,22.959999999999997
,,128,,22.756363636363634
,,256,,22.785454545454545
,,512,,22.84363636363636
,,1024,,22.959999999999997
,Intel-i7-7700,128,,23.84
,,256,,23.87047619047619
,,512,,23.931428571428572
,,1024,,24.05333333333333
,,128,,23.84
,,256,,23.87047619047619
,,512,,23.931428571428572
,,1024,,24.05333333333333
,Intel-i7-6700,128,,25.032
,,256,,25.064000000000004
,,512,,25.128
,,1024,,25.256
,,128,,25.032
,,256,,25.064000000000004
,,512,,25.128
,,1024,,25.256
,ARM-_Denver_2,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,ARM-_ARM_Cortex,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,Intel-Xeon-w-1370P,128,,27.813333333333333
,,256,,27.84888888888889
,,512,,27.92
,,1024,,28.06222222222222
,Intel-i7-14650HX,128,,19.255384615384614
,,256,,19.28
,,512,,19.32923076923077
,,1024,,19.427692307692308
,,128,,19.255384615384614
,,256,,19.28
,,512,,19.32923076923077
,,1024,,19.427692307692308
,Intel-i3-4130,128,,29.449411764705886
,,256,,29.487058823529416
,,512,,29.562352941176474
,,1024,,29.71294117647059
,Intel-i7-14700HX,128,,18.20509090909091
,,256,,18.22836363636364
,,512,,18.27490909090909
,,1024,,18.368000000000002
,,128,,18.20509090909091
,,256,,18.22836363636364
,,512,,18.27490909090909
,,1024,,18.368000000000002
decrypt-aes-512,Intel-Xeon-w-1350P,128,,25.032
,,256,,25.064000000000004
,,512,,25.128
,,1024,,25.256
,Intel-i7-11850HE,128,,21.30382978723404
,,256,,21.331063829787237
,,512,,21.38553191489362
,,1024,,21.494468085106384
,,128,,21.30382978723404
,,256,,21.331063829787237
,,512,,21.38553191489362
,,1024,,21.494468085106384
,Intel-i7-7600U,128,,25.673846153846153
,,256,,25.70666666666667
,,512,,25.772307692307695
,,1024,,25.903589743589745
,,128,,25.673846153846153
,,256,,25.70666666666667
,,512,,25.772307692307695
,,1024,,25.903589743589745
,Intel-Xeon-w-1390P,128,,19.255384615384614
,,256,,19.28
,,512,,19.32923076923077
,,1024,,19.427692307692308
,Intel-i7-1360P,128,,20.0256
,,256,,20.0512
,,512,,20.1024
,,1024,,20.2048
,,128,,20.0256
,,256,,20.0512
,,512,,20.1024
,,1024,,20.2048
,Intel-i7-1185G7E,128,,22.756363636363634
,,256,,22.785454545454545
,,512,,22.84363636363636
,,1024,,22.959999999999997
,,128,,22.756363636363634
,,256,,22.785454545454545
,,512,,22.84363636363636
,,1024,,22.959999999999997
,Intel-i7-7700,128,,23.84
