CPU Entries,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
### model,operation,pcktlen (bytes),exec time (usec),
AMD EPYC 7763 64-Core Processor,decrypt-AES-256-ECB,768,4.01516096158307,
AMD EPYC 7763 64-Core Processor,decrypt-AES-256-ECB,1000,5.18711818581571,
AMD EPYC 7763 64-Core Processor,decrypt-AES-256-ECB,1500,7.71288806562743,
AMD EPYC 7763 64-Core Processor,decrypt-AES-256-GCM,64,0.821607168115885,
AMD EPYC 7763 64-Core Processor,decrypt-AES-256-GCM,128,0.840864218958335,
AMD EPYC 7763 64-Core Processor,decrypt-AES-256-GCM,196,0.861324835478439,
AMD EPYC 7763 64-Core Processor,decrypt-AES-256-GCM,256,0.879378320643236,
AMD EPYC 7763 64-Core Processor,decrypt-AES-256-GCM,384,0.917892422328137,
AMD EPYC 7763 64-Core Processor,decrypt-AES-256-GCM,512,0.956406524013038,
AMD EPYC 7763 64-Core Processor,decrypt-AES-256-GCM,768,1.03343472738283,
AMD EPYC 7763 64-Core Processor,decrypt-AES-256-GCM,1000,1.10324153668672,
AMD EPYC 7763 64-Core Processor,decrypt-AES-256-GCM,1500,1.25368724639336,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-CBC,64,0.603814781878698,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-CBC,128,0.874656429713734,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-CBC,196,1.16242568053845,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-CBC,256,1.4163397253838,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-CBC,384,1.95802302105387,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-CBC,512,2.49970631672394,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-CBC,768,3.58307290806408,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-CBC,1000,4.56487388146609,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-CBC,1500,6.6808242551773,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-CTR,64,0.768218798320021,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-CTR,128,1.06144031537287,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-CTR,196,1.37298817724152,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-CTR,256,1.64788334947857,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-CTR,384,2.23432638358427,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-CTR,512,2.82076941768998,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-CTR,768,3.99365548590138,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-CTR,1000,5.05658348521797,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-CTR,1500,7.34737658719337,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-ECB,64,0.507184066852455,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-ECB,128,0.75727850009749,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-ECB,196,1.02300383542033,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-ECB,256,1.25746736658755,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-ECB,384,1.75765623307762,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-ECB,512,2.25784509956769,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-ECB,768,3.25822283254783,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-ECB,1000,4.16481515306108,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-ECB,1500,6.11867791278791,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-GCM,64,2.95384090982678,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-GCM,128,2.9810412548031,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-GCM,196,3.00994162134043,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-GCM,256,3.03544194475573,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-GCM,384,3.08984263470836,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-GCM,512,3.144243324661,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-GCM,768,3.25304470456626,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-GCM,1000,3.35164595510541,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-GCM,1500,3.56414865023289,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-CBC,64,0.66410547370432,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-CBC,128,1.02249521641375,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-CBC,196,1.40328431804252,
